yORF	gene name	GFP tagged?	GFP visualized?	abundance	localization summary	
YOL115W	TRF4	tagged	visualized	7550	nucleus	
YGR105W	VMA21	tagged	visualized	1480	vacuole	
YMR104C	YPK2	tagged	visualized	1310	cytoplasm,nucleus	
YPR137W	RRP9	tagged	visualized	5130	nucleolus	
YHR086W	NAM8	tagged	visualized	1480	cytoplasm,nucleus	
YDR392W	SPT3	tagged	visualized	1710	nucleus	
YBR030W		tagged	visualized	7880	nucleus	
YBR120C	CBP6	tagged	visualized	2130	mitochondrion	
YJL043W		tagged	visualized	not visualized	mitochondrion	
YGL186C	TPN1	tagged	visualized	not visualized	ER	
YJL207C		tagged	visualized	300	late Golgi	
YOR304C-A		tagged	visualized	656	ambiguous,bud neck,cytoplasm,cell periphery,bud	
YOR296W		tagged	visualized	300	cytoplasm	
YGL240W	DOC1	tagged	visualized	1360	cytoplasm,nucleus	
YLR382C	NAM2	tagged	visualized	2120	mitochondrion	
YBR048W	RPS11B	tagged	visualized	1200	cytoplasm	
YHR138C		tagged	visualized	319	ambiguous	
YBR085C-A		tagged	visualized	not visualized	cytoplasm,nucleus	
YIR010W	DSN1	tagged	visualized	1310	spindle pole	
YIL005W	EPS1	tagged	visualized	6020	vacuole	
YBR058C	UBP14	tagged	visualized	3040	cytoplasm,nucleus	
YBR231C	AOR1	tagged	visualized	1680	nucleus	
YJL013C	MAD3	tagged	visualized	3170	cytoplasm,nucleus	
YGL009C	LEU1	tagged	visualized	96300	cytoplasm,nucleus	
YML008C	ERG6	tagged	visualized	53800	lipid particle	
YML056C	IMD4	tagged	visualized	2970	cytoplasm	
YBR110W	ALG1	tagged	visualized	1890	ER	
YMR043W	MCM1	tagged	visualized	8970	nucleus	
YHR105W	YPT35	tagged	visualized	not visualized	endosome	
YKL125W	RRN3	tagged	visualized	138	nucleolus,nucleus	
YEL036C	ANP1	tagged	visualized	not visualized	Golgi	
YGR094W	VAS1	tagged	visualized	358	cytoplasm	
YEL048C		tagged	visualized	8660	late Golgi	
YHR193C	EGD2	tagged	visualized	38000	cytoplasm	
YHR013C	ARD1	tagged	visualized	3310	cytoplasm	
YDR322W	MRPL35	tagged	visualized	7700	mitochondrion	
YJR073C	OPI3	tagged	visualized	5890	ER,vacuole	
YMR011W	HXT2	tagged	visualized	technical problem	cell periphery,vacuole	
YJR134C	SGM1	tagged	visualized	300	Golgi,early Golgi	
YML034W	SRC1	tagged	visualized	2100	nuclear periphery	
YNL052W	COX5A	tagged	visualized	3670	mitochondrion	
YLL015W	BPT1	tagged	visualized	technical problem	vacuolar membrane	
YJR116W		tagged	visualized	technical problem	ambiguous	
YBR133C	HSL7	tagged	visualized	1180	bud neck,cytoplasm	
YHR114W	BZZ1	tagged	visualized	5440	actin	
YIL093C	RSM25	tagged	visualized	1920	mitochondrion	
YGR063C	SPT4	tagged	visualized	4490	nucleus	
YGL250W		tagged	visualized	1820	cytoplasm,nucleus	
YIR014W		tagged	visualized	low signal	vacuole	
YGR159C	NSR1	tagged	visualized	77400	nucleolus	
YGR087C	PDC6	tagged	visualized	1520	cytoplasm	
YMR295C		tagged	visualized	10800	cell periphery,bud	
YMR297W	PRC1	tagged	visualized	44000	vacuole	
YKR075C		tagged	visualized	1960	cytoplasm,nucleus	
YPL135W	ISU1	tagged	visualized	10800	mitochondrion	
YPL082C	MOT1	tagged	visualized	6560	nucleus	
YOR224C	RPB8	tagged	visualized	6210	nucleus	
YBR158W	AMN1	tagged	visualized	2020	cytoplasm,nucleus	
YDL173W		tagged	visualized	1140	cytoplasm	
YFL018C	LPD1	tagged	visualized	24600	mitochondrion	
YCL039W	GID7	tagged	visualized	1200	cytoplasm,nucleus	
YOR273C	TPO4	tagged	visualized	21400	cell periphery,bud	
YOL088C	MPD2	tagged	visualized	1520	vacuole	
YOL159C-A		tagged	visualized	125	cytoplasm	
YLR426W		tagged	visualized	2130		
YGR220C	MRPL9	tagged	visualized	3190	mitochondrion	
YLR403W	SFP1	tagged	visualized	259	cytoplasm,nucleus	
YKL038W	RGT1	tagged	visualized	195	cytoplasm,nucleus	
YCR088W	ABP1	tagged	visualized	606	actin	
YMR071C	TVP18	tagged	visualized	technical problem	late Golgi	
YER049W		tagged	visualized	8910	nucleus	
YML079W		tagged	visualized	low signal	cytoplasm,nucleus	
YLR332W	MID2	tagged	visualized	low signal	cell periphery	
YJL173C	RFA3	tagged	visualized	4280	nucleus	
YJR015W		tagged	visualized	639	ER,cytoplasm	
YJL162C		tagged	visualized	184	cytoplasm,nucleus	
YPR107C	YTH1	tagged	visualized	3690	nucleus	
YBL093C	ROX3	tagged	visualized	6120	nucleus	
YHL008C		tagged	visualized	low signal	vacuole	
YGL211W		tagged	visualized	low signal	mitochondrion	
YDR065W		tagged	visualized	1670	mitochondrion	
YKL173W	SNU114	tagged	visualized	300	nucleus	
YPL079W	RPL21B	tagged	visualized	66400	cytoplasm	
YDL197C	ASF2	tagged	visualized	1910	nucleus	
YCL031C	RRP7	tagged	visualized	2610	nucleolus,nucleus	
YLR257W		tagged	visualized	18600	cytoplasm	
YOR229W	WTM2	tagged	visualized	3750	nucleus	
YIL075C	RPN2	tagged	visualized	4750	cytoplasm,nucleus	
YOR252W		tagged	visualized	5350	nucleus	
YOR061W	CKA2	tagged	visualized	4540	cytoplasm,nucleus	
YIL145C	PAN6	tagged	visualized	2400	cytoplasm,nucleus	
YKL209C	STE6	tagged	visualized	technical problem	vacuole	
YFL049W		tagged	visualized	3180	nucleus	
YDL089W		tagged	visualized	606	ambiguous,nuclear periphery	
YKL176C	LST4	tagged	visualized	low signal	ambiguous	
YLL038C	ENT4	tagged	visualized	1960	ambiguous	
YHR187W	IKI1	tagged	visualized	3870	cytoplasm	
YOL001W	PHO80	tagged	visualized	technical problem	cytoplasm,nucleus	
