yORF	gene name	GFP tagged?	GFP visualized?	abundance	
YCR005C	CIT2	tagged	visualized	2310	
YCR009C	RVS161	tagged	visualized	7390	
YCR011C	ADP1	tagged	visualized	339	
YCR012W	PGK1	tagged	visualized	314000	
YCR016W		tagged	visualized	1850	
YCR017C	CWH43	tagged	visualized	not visualized	
YCR018C	SRD1	tagged	visualized	2100	
YCR018C-A		tagged	visualized	not visualized	
YCR020C	PET18	tagged	visualized	195	
YCR020W-B	HTL1	tagged	visualized	3550	
YCR021C	HSP30	tagged	visualized	7800	
YCR023C		tagged	visualized	low signal	
YCR024C	PMP1	tagged	visualized	784	
YCR027C	RHB1	tagged	visualized	1600	
YCR028C	FEN2	tagged	visualized	not visualized	
YCR028C-A	RIM1	tagged	visualized	3060	
YCR030C	SYP1	tagged	visualized	4280	
YCR033W	SNT1	tagged	visualized	396	
YCR034W	FEN1	tagged	visualized	3510	
YCR035C	RRP43	tagged	visualized	3180	
YCR036W	RBK1	tagged	visualized	1780	
YCR037C	PHO87	tagged	visualized	504	
YCR038C	BUD5	tagged	visualized	2110	
YCR042C	TAF2	tagged	visualized	1160	
YCR043C		tagged	visualized	4240	
YCR044C	PER1	tagged	visualized	3050	
YCR046C	IMG1	tagged	visualized	4150	
YCR047C	BUD23	tagged	visualized	1620	
YCR048W	ARE1	tagged	visualized	technical problem	
YCR051W		tagged	visualized	784	
YCR053W	THR4	tagged	visualized	26000	
YCR054C	CTR86	tagged	visualized	8970	
YCR057C	PWP2	tagged	visualized	16700	
YCR059C	YIH1	tagged	visualized	3030	
YCR060W		tagged	visualized	1660	
YCR061W		tagged	visualized	not visualized	
YCR063W	BUD31	tagged	visualized	1900	
YCR065W	HCM1	tagged	visualized	358	
YCR067C	SED4	tagged	visualized	low signal	
YCR069W	CPR4	tagged	visualized	low signal	
YCR071C	IMG2	tagged	visualized	1710	
YCR073W-A	SOL2	tagged	visualized	1160	
YCR077C	PAT1	tagged	visualized	656	
YCR079W		tagged	visualized	432	
YCR081W	SRB8	tagged	visualized	1730	
YCR082W		tagged	visualized	981	
YCR083W	TRX3	tagged	visualized	1010	
YCR084C	TUP1	tagged	visualized	5840	
YCR086W	CSM1	tagged	visualized	1920	
YCR087C-A		tagged	visualized	3430	
YCR088W	ABP1	tagged	visualized	606	
YCR090C		tagged	visualized	3970	
YCR092C	MSH3	tagged	visualized	736	
YCR093W	CDC39	tagged	visualized	4300	
YCR094W	CDC50	tagged	visualized	589	
YCR095C		tagged	visualized	5370	
YDL001W	RMD1	tagged	visualized	952	
YDL002C	NHP10	tagged	visualized	1760	
