ORF Name	Plate No.	Well No.
YKR010C	GFP(+)07	D3
YJL033W	GFP(+)07	E3
YKL134C	GFP(+)07	F3
YLR131C	GFP(+)07	G3
YPR091C	GFP(+)07	H3
YLL054C	GFP(+)07	A4
YMR167W	GFP(+)07	B4
YOL006C	GFP(+)07	C4
YER091C	GFP(+)07	D4
YGL120C	GFP(+)07	E4
YNL224C	GFP(+)07	F4
YNL247W	GFP(+)07	G4
YKL072W	GFP(+)07	H4
YOR140W	GFP(+)07	A5
YKR027W	GFP(+)07	B5
YDL028C	GFP(+)07	C5
YIR007W	GFP(+)07	D5
YJL090C	GFP(+)07	E5
YLR114C	GFP(+)07	F5
YHR197W	GFP(+)07	G5
YNL311C	GFP(+)07	H5
YOR361C	GFP(+)07	A6
YLR069C	GFP(+)07	B6
YOR112W	GFP(+)07	C6
YAL031C	GFP(+)07	D6
YOR267C	GFP(+)07	E6
YOR337W	GFP(+)07	F6
YBL084C	GFP(+)07	G6
YMR164C	GFP(+)07	H6
YMR179W	GFP(+)07	A7
YPL158C	GFP(+)07	B7
YOR014W	GFP(+)07	C7
YNL161W	GFP(+)07	D7
YDL164C	GFP(+)07	E7
YNL059C	GFP(+)07	F7
YER098W	GFP(+)07	G7
YER162C	GFP(+)07	H7
YNL258C	GFP(+)07	A8
YPL074W	GFP(+)07	B8
YBR094W	GFP(+)07	C8
YBR102C	GFP(+)07	D8
YDR138W	GFP(+)07	E8
YFR009W	GFP(+)07	F8
YLL008W	GFP(+)07	G8
YDR001C	GFP(+)07	H8
YGR264C	GFP(+)07	A9
YKR029C	GFP(+)07	B9
YKL187C	GFP(+)07	C9
YOR208W	GFP(+)07	D9
YGL086W	GFP(+)07	E9
YLL029W	GFP(+)07	F9
YOR034C	GFP(+)07	G9
YOR081C	GFP(+)07	H9
YLR135W	GFP(+)07	A10
YPR031W	GFP(+)07	B10
YDR499W	GFP(+)07	C10
YOR076C	GFP(+)07	D10
YDL234C	GFP(+)07	E10
YJL099W	GFP(+)07	F10
YOR299W	GFP(+)07	G10
YCL039W	GFP(+)07	H10
YGR003W	GFP(+)07	A11
YHR178W	GFP(+)07	B11
YKR024C	GFP(+)07	C11
YMR216C	GFP(+)07	D11
YMR078C	GFP(+)07	E11
YKL054C	GFP(+)07	F11
YPR185W	GFP(+)07	G11
YPL029W	GFP(+)07	H11
YBR007C	GFP(+)07	A12
YPR090W	GFP(+)07	B12
YGR186W	GFP(+)07	C12
YKL078W	GFP(+)07	D12
YHR149C	GFP(+)07	E12
YIL078W	GFP(+)07	F12
YKL168C	GFP(+)07	G12
YEL053C	GFP(+)07	H12
YJL168C	GFP(+)08	A1
YLR381W	GFP(+)08	B1
YOR001W	GFP(+)08	C1
YMR277W	GFP(+)08	D1
YBR238C	GFP(+)08	E1
YJL082W	GFP(+)08	F1
YKL112W	GFP(+)08	G1
YER040W	GFP(+)08	H1
YLR149C	GFP(+)08	A2
YPR141C	GFP(+)08	B2
YBL097W	GFP(+)08	C2
YJR119C	GFP(+)08	D2
YLR219W	GFP(+)08	E2
YKL135C	GFP(+)08	F2
YOR156C	GFP(+)08	G2
YKR018C	GFP(+)08	H2
YNR044W	GFP(+)08	A3
YDR164C	GFP(+)08	B3
YGL245W	GFP(+)08	C3
YMR237W	GFP(+)08	D3
YDR333C	GFP(+)08	E3
YHR031C	GFP(+)08	F3
YGR178C	GFP(+)08	G3
YIL091C	GFP(+)08	H3
YLR335W	GFP(+)08	A4
YMR192W	GFP(+)08	B4
YDL167C	GFP(+)08	C4
YMR172W	GFP(+)08	D4
YLR362W	GFP(+)08	E4
YKL213C	GFP(+)08	F4
YOR022C	GFP(+)08	G4
YFL047W	GFP(+)08	H4
YHR074W	GFP(+)08	A5
YOL017W	GFP(+)08	B5
YAL054C	GFP(+)08	C5
YCR084C	GFP(+)08	D5
YGR128C	GFP(+)08	E5
YCL057W	GFP(+)08	F5
YDR211W	GFP(+)08	G5
YLR006C	GFP(+)08	H5
YOL057W	GFP(+)08	A6
YDR436W	GFP(+)08	B6
YOR206W	GFP(+)08	C6
YDR146C	GFP(+)08	D6
YHL032C	GFP(+)08	E6
YLR440C	GFP(+)08	F6
YPL240C	GFP(+)08	G6
YDL176W	GFP(+)08	H6
YFR015C	GFP(+)08	A7
YLR424W	GFP(+)08	B7
YGL026C	GFP(+)08	C7
